OpenAlex ID,PDF URL,DRUID
https://openalex.org/W4315783734,https://storage.cloud.google.com/cloud-ai-platform-e215f7f7-a526-4a66-902d-eb69384ef0c4/preprints/www.biorxiv.org/W4315783734.pdf,druid:kj091xn7702
https://openalex.org/W4394813096,https://storage.cloud.google.com/cloud-ai-platform-e215f7f7-a526-4a66-902d-eb69384ef0c4/preprints/www.researchsquare.com/W4394813096.pdf,druid:kt124pw7658
https://openalex.org/W4304614191,https://storage.cloud.google.com/cloud-ai-platform-e215f7f7-a526-4a66-902d-eb69384ef0c4/preprints/chemrxiv.org/W4304614191.pdf,druid:kt342kq6331
https://openalex.org/W4386128506,https://storage.cloud.google.com/cloud-ai-platform-e215f7f7-a526-4a66-902d-eb69384ef0c4/preprints/inria.hal.science/W4386128506.pdf,druid:kw111wz3043
https://openalex.org/W4232006839,https://storage.cloud.google.com/cloud-ai-platform-e215f7f7-a526-4a66-902d-eb69384ef0c4/preprints/osf.io/W4232006839.pdf,druid:kw171fq8315
https://openalex.org/W4396903879,https://storage.cloud.google.com/cloud-ai-platform-e215f7f7-a526-4a66-902d-eb69384ef0c4/preprints/chemrxiv.org/W4396903879.pdf,druid:mx485ft8480
https://openalex.org/W4376255784,https://storage.cloud.google.com/cloud-ai-platform-e215f7f7-a526-4a66-902d-eb69384ef0c4/preprints/osf.io/W4376255784.pdf,druid:mx868dn9875
https://openalex.org/W3177095392,https://storage.cloud.google.com/cloud-ai-platform-e215f7f7-a526-4a66-902d-eb69384ef0c4/preprints/arxiv.org/W3177095392.pdf,druid:nc165yp8360
https://openalex.org/W3133101250,https://storage.cloud.google.com/cloud-ai-platform-e215f7f7-a526-4a66-902d-eb69384ef0c4/preprints/www.researchsquare.com/W3133101250.pdf,druid:nm560sj3327
https://openalex.org/W4244886215,https://storage.cloud.google.com/cloud-ai-platform-e215f7f7-a526-4a66-902d-eb69384ef0c4/preprints/www.researchsquare.com/W4244886215.pdf,druid:np373vx8662
https://openalex.org/W4229365847,https://storage.cloud.google.com/cloud-ai-platform-e215f7f7-a526-4a66-902d-eb69384ef0c4/preprints/www.biorxiv.org/W4229365847.pdf,druid:np727hc0446
https://openalex.org/W3147817170,https://storage.cloud.google.com/cloud-ai-platform-e215f7f7-a526-4a66-902d-eb69384ef0c4/preprints/repec.bfi.uchicago.edu/W3147817170.pdf,druid:nr032mr9571
https://openalex.org/W3045625995,https://storage.cloud.google.com/cloud-ai-platform-e215f7f7-a526-4a66-902d-eb69384ef0c4/preprints/preprints.apsanet.org/W3045625995.pdf,druid:ny096xg8412
https://openalex.org/W2890142544,https://storage.cloud.google.com/cloud-ai-platform-e215f7f7-a526-4a66-902d-eb69384ef0c4/preprints/www.lenus.ie/W2890142544.pdf,druid:pf494rb6827
https://openalex.org/W4366211166,https://storage.cloud.google.com/cloud-ai-platform-e215f7f7-a526-4a66-902d-eb69384ef0c4/preprints/www.biorxiv.org/W4366211166.pdf,druid:pg210nq1402
